time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-15T22:38:41.620Z,51.1875,-177.8437,25.1,2.3,ml,,,,0.44,ak,ak018afsbjtu,2023-08-16T14:51:26.652Z,"113 km SW of Adak, Alaska",earthquake,,1.7,,,reviewed,ak,ak
2018-08-15T22:35:16.220Z,51.1926,-177.7938,35,2.8,ml,,227,0.66,0.24,us,us2000haw7,2023-08-16T14:51:18.239Z,"110 km SW of Adak, Alaska",earthquake,4.9,2,,,reviewed,us,ak
2018-08-15T22:34:27.640Z,51.2085,-177.6781,35,2.7,ml,,226,0.612,0.36,us,us2000hawh,2023-08-16T14:51:16.437Z,"103 km SW of Adak, Alaska",earthquake,4.9,2,,,reviewed,us,ak
2018-08-15T22:29:43.954Z,51.2215,-177.8548,42.8,2.1,ml,,,,0.35,ak,ak018afs9mkb,2023-08-16T14:51:12.727Z,"111 km SW of Adak, Alaska",earthquake,,2.1,,,reviewed,ak,ak
2018-08-15T22:28:13.470Z,51.2443,-177.7884,20,2.1,ml,,,,0.56,ak,ak018afs9chv,2023-08-16T14:51:10.851Z,"106 km SW of Adak, Alaska",earthquake,,0,,,reviewed,ak,ak
2018-08-15T22:23:56.838Z,51.3341,-177.7372,32.6,2.3,ml,,,,0.44,ak,ak018afs8d9f,2023-08-16T14:51:07.386Z,"97 km SW of Adak, Alaska",earthquake,,10.2,,,reviewed,ak,ak
2018-08-15T22:23:14.030Z,51.1346,-177.9577,22.73,2.8,ml,,227,0.702,0.34,us,us2000hawg,2023-08-16T14:51:00.529Z,"123 km SW of Adak, Alaska",earthquake,4.3,11.8,,,reviewed,us,ak
2018-08-15T22:22:14.774Z,51.4732,-177.902,68.4,2.1,ml,,,,0.34,ak,ak018afs82at,2023-08-16T14:50:58.594Z,"98 km WSW of Adak, Alaska",earthquake,,4.4,,,reviewed,ak,ak
2018-08-15T22:16:07.970Z,51.3358,-177.9373,35,4.3,mb,,187,0.485,0.97,us,us1000ga1f,2023-08-16T14:50:53.141Z,"108 km SW of Adak, Alaska",earthquake,5.3,2,0.069,60,reviewed,us,us
2018-08-15T22:12:09.980Z,51.1583,-177.9633,35,2.9,ml,,226,0.678,0.14,us,us2000haw1,2023-08-16T14:50:51.447Z,"121 km SW of Adak, Alaska",earthquake,3.5,2,,,reviewed,us,ak
2018-08-15T22:09:51.370Z,51.058,-177.8753,31.2,4.2,mb,,209,0.783,0.67,us,us1000geky,2023-08-16T14:50:47.700Z,"125 km SW of Adak, Alaska",earthquake,3.8,6.9,0.137,15,reviewed,us,us
2018-08-15T21:56:56.310Z,51.4234,-178.0262,33.93,6.5,mww,,22,0.576,0.72,us,us1000ga0z,2023-08-16T14:50:42.315Z,"108 km WSW of Adak, Alaska",earthquake,4.7,2.5,0.033,88,reviewed,us,us
2018-08-15T21:19:28.702Z,52.0469,-175.3646,83.9,2.3,ml,,,,0.41,ak,ak018afrm0me,2023-08-16T14:50:21.409Z,"81 km WSW of Atka, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2018-08-15T21:18:02.490Z,51.2906,-178.1546,35,2.8,ml,,207,0.548,0.47,us,us2000havv,2023-08-16T14:50:19.811Z,"123 km WSW of Adak, Alaska",earthquake,3.3,2,,,reviewed,us,ak
2018-08-15T16:58:58.370Z,52.1313,-179.7243,186.81,2.5,ml,,178,0.422,0.33,us,us2000hawd,2023-08-16T14:47:49.097Z,"214 km W of Adak, Alaska",earthquake,10.2,8,,,reviewed,us,ak
2018-08-15T12:38:43.145Z,51.7535,178.685,88.5,2.2,ml,,,,0.49,ak,ak018afmd7wa,2023-08-16T14:44:38.580Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2018-08-15T12:24:18.496Z,51.5377,-176.1494,20.5,2.2,ml,,,,0.42,ak,ak018afma5yx,2023-08-16T14:44:22.251Z,"50 km SE of Adak, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2018-08-15T11:48:46.613Z,51.9018,179.5538,149.5,2.1,ml,,,,0.36,ak,ak018afltxpx,2023-08-16T14:44:04.267Z,"262 km W of Adak, Alaska",earthquake,,1.3,,,reviewed,ak,ak
2018-08-15T05:07:46.310Z,51.8213,178.5128,92.4,2.5,ml,,,,0.48,us,us2000hauj,2023-08-16T14:39:31.748Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,14.5,10,,,reviewed,ak,ak
2018-08-14T22:18:52.324Z,52.2517,-176.4799,204.7,2.2,ml,,,,0.92,ak,ak018ae4nxu8,2023-08-16T14:34:14.520Z,"43 km NNE of Adak, Alaska",earthquake,,1.3,,,reviewed,ak,ak
2018-08-14T21:19:16.440Z,52.1838,-174.1978,10,3.3,ml,,185,0.108,0.63,us,us1000g9ad,2023-08-16T14:33:44.625Z,"1 km S of Atka, Alaska",earthquake,3.4,2,,,reviewed,us,ak
2018-08-14T21:01:17.126Z,51.1387,178.3217,38.7,2.3,ml,,,,0.12,ak,ak018ae3yscg,2023-08-16T14:33:41.002Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,4.3,,,reviewed,ak,ak
2018-08-14T21:00:25.550Z,52.0546,-174.1176,6.52,4.1,mb,,179,0.22,0.92,us,us1000g983,2023-08-16T14:33:39.234Z,"16 km SSE of Atka, Alaska",earthquake,4.3,5.6,0.084,39,reviewed,us,us
2018-08-14T19:06:58.635Z,51.855,178.3439,122.2,2.2,ml,,,,0.35,ak,ak018ae2t2x3,2023-08-16T14:32:25.435Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2018-08-14T10:07:08.550Z,51.5777,-176.692,35,2.8,ml,,201,0.305,0.45,us,us2000h6pf,2023-08-16T14:27:22.128Z,"33 km S of Adak, Alaska",earthquake,4.8,2,,,reviewed,us,ak
2018-08-14T09:45:15.914Z,51.7274,177.5451,65.9,2.5,ml,,,,0.25,ak,ak018adx30hz,2023-08-16T14:26:58.482Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2018-08-14T06:29:21.312Z,51.6117,-178.4882,13.2,2.1,ml,,,,0.33,ak,ak018adv7an7,2023-08-16T14:24:26.594Z,"131 km WSW of Adak, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2018-08-14T02:05:38.597Z,51.5574,179.05,6.7,2.3,ml,,,,0.56,ak,ak018adsogdf,2023-08-16T14:20:30.102Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2018-08-13T22:44:58.303Z,51.5284,-177.8652,23.3,2.2,ml,,,,0.1,ak,ak018acha6fa,2023-08-16T14:17:49.459Z,"93 km WSW of Adak, Alaska",earthquake,,1.2,,,reviewed,ak,ak
2018-08-13T22:44:44.080Z,51.0915,179.5514,47.15,4.1,mb,,183,0.326,1.08,us,us1000gbh9,2023-08-16T14:17:47.576Z,"278 km WSW of Adak, Alaska",earthquake,9.7,8.4,0.069,57,reviewed,us,us
2018-08-13T15:40:20.870Z,50.9075,-178.4012,10,4,mb,,232,0.885,0.61,us,us1000gbh1,2023-08-16T14:08:12.903Z,"163 km SW of Adak, Alaska",earthquake,2.8,2,0.098,28,reviewed,us,us
2018-08-13T15:06:09.840Z,51.5782,-177.0659,71.5,4.2,mb,,,,0.68,us,us1000gbgz,2023-08-16T14:07:37.232Z,"44 km SW of Adak, Alaska",earthquake,6.2,5.9,0.264,4,reviewed,ak,us
2018-08-13T14:23:17.395Z,51.4091,-177.4862,40.6,2,ml,,,,0.55,ak,ak018acce4e3,2023-08-16T14:06:54.817Z,"78 km SW of Adak, Alaska",earthquake,,2.9,,,reviewed,ak,ak
2018-08-13T11:19:40.900Z,52.5908,-174.7085,191.89,2.6,ml,,236,0.41,0.39,us,us2000heba,2023-08-16T14:03:24.944Z,"55 km NW of Atka, Alaska",earthquake,32.8,19.6,,,reviewed,us,ak
2018-08-13T11:08:57.160Z,49.9253,-178.33,35.43,2.8,ml,,259,1.859,0.48,us,us2000heb7,2023-08-16T14:03:07.237Z,"247 km SSW of Adak, Alaska",earthquake,8.3,13,,,reviewed,us,ak
2018-08-13T07:59:53.906Z,51.5119,-175.2438,30.8,2.4,ml,,,,0.65,ak,ak018ac8fvr2,2023-08-16T13:59:25.451Z,"104 km ESE of Adak, Alaska",earthquake,,26.5,,,reviewed,ak,ak
2018-08-13T05:16:24.234Z,51.2267,-178.5389,60.5,2,ml,,,,0.72,ak,ak018ac6zqgn,2023-08-16T13:56:14.460Z,"150 km WSW of Adak, Alaska",earthquake,,17.7,,,reviewed,ak,ak
2018-08-13T03:23:04.020Z,52.0218,-176.9612,139.31,2.5,ml,,183,0.147,0.43,us,us2000he7c,2023-08-16T13:52:55.268Z,"27 km NW of Adak, Alaska",earthquake,14.8,8.3,,,reviewed,us,ak
2018-08-13T01:40:32.901Z,51.4266,-176.3517,22.8,2.1,ml,,,,0.27,ak,ak018ac4r5wa,2023-08-16T13:49:54.751Z,"53 km SSE of Adak, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2018-08-12T23:30:34.020Z,51.6567,-178.4372,18.47,3.3,ml,,182,0.23,0.39,us,us1000gcc3,2023-08-16T13:46:13.288Z,"126 km WSW of Adak, Alaska",earthquake,3.5,5.9,,,reviewed,us,ak
2018-08-12T22:59:02.739Z,51.382,-173.8415,25.6,2.1,ml,,,,0.31,ak,ak018aattxdt,2023-08-16T13:45:51.844Z,"93 km SSE of Atka, Alaska",earthquake,,11.8,,,reviewed,ak,ak
2018-08-12T21:09:50.019Z,51.1303,178.9937,19.1,2,ml,,,,0.23,ak,ak018aasxvmh,2023-08-16T13:43:27.937Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,0.5,,,reviewed,ak,ak
